db_index,num_vertex,num_edge,average_degree,density
0,21332,3179505,149.04861241327583,0.013974835911422422
1,15839,2354773,148.66929730412272,0.018773746344755995
2,11466,1704644,148.66945752660038,0.025934488883837835
3,89461,13350689,149.23473916008092,0.0033363456105540115
4,27478,4095071,149.0308974452289,0.010847683331166352
5,16101,2413511,149.8982050804298,0.018620895041047178
6,59709,8927314,149.51370815119998,0.005008163333261874
7,60424,8995449,148.87212034952998,0.004927663980587855
8,84407,12648159,149.84727569988272,0.003550630895905095
9,25576,3816244,149.21191742258367,0.011668576142528538
10,32520,4878390,150.0119926199262,0.009226113510251004
11,57042,8500996,149.0304687773921,0.0052253806482141655
12,63299,9388234,148.315676392992,0.004686267382634269
13,54726,8184768,149.55903957899352,0.005465839728789165
14,92246,13808263,149.68955835483382,0.0032454779848194223
15,38258,5717577,149.44788018192273,0.007812838444306806
16,75131,11214975,149.27227109981231,0.003973706138687937
17,27540,4116833,149.48558460421205,0.010856282697571593
18,93505,13980849,149.51980108015613,0.0031981476959307867
19,83406,12464671,149.445735318802,0.0035836157381164678
20,35845,5377419,150.01866369089134,0.008370642991345349
21,57448,8609886,149.87268486283247,0.005217772376724023
22,85556,12824207,149.89254990883165,0.0035040044394560608
23,62860,9381633,149.24646834234807,0.004748610965568911
24,12274,1836851,149.65382108522078,0.02438748815859542
25,77237,11554513,149.59815891347412,0.0038737935396311075
26,54034,8088727,149.6969870822075,0.005540946720789425
27,35493,5298421,149.28073141182767,0.008412077730859217
28,18813,2818352,149.80874926912242,0.015926934857444442
29,56410,8440015,149.61912781421734,0.005304796320240293
30,69331,10394346,149.92349742539412,0.004324924200934491
31,55345,8267895,149.38829162525974,0.005398536124069808
32,18949,2845972,150.19114465143278,0.015852981280497443
33,10462,1558962,149.01185241827565,0.028489026368086354
34,91051,13609482,149.4709778036485,0.0032832724393991983
35,48559,7242546,149.14940587738627,0.0061431445231428915
36,52670,7898983,149.97119802544142,0.005694856482008066
37,90206,13487880,149.52309159035985,0.0033151841159660736
38,39971,5923613,148.19776838207702,0.007415450006608807
39,85044,12755448,149.98645407083393,0.003527308633769597
40,34916,5211623,149.26174246763662,0.008550006728777695
41,33712,5067137,150.30662672045563,0.008917363870573737
42,15901,2382728,149.8476825356896,0.01884876509882888
43,21637,3225139,149.05666219901096,0.013778578498706872
44,81492,12162820,149.25170568890198,0.0036630230501258293
45,40187,6001272,149.33366511558464,0.0074321238797384484
46,24678,3679347,149.094213469487,0.012083657938119463
47,98376,14660159,149.0217024477515,0.0030296661234612754
48,34520,5149902,149.18603707995365,0.008643705616034858
49,90975,13587020,149.34894201703764,0.0032833324250233615
50,44101,6570011,148.97646311875013,0.006756302182256242
51,51907,7769776,149.68647773903328,0.005767598263747284
52,98389,14724839,149.6594029820407,0.0030422287876985137
53,75895,11363932,149.73228802951445,0.003945826759151302
54,22841,3409376,149.2656188433081,0.013070544557207363
55,36033,5382189,149.36832903172092,0.008290870838794456
56,90515,13523752,149.40895984091034,0.003301344760830597
57,35411,5268143,148.77137047810004,0.008402788504834793
58,27037,4056166,150.02278359285424,0.011098001449390016
59,59179,8854700,149.6257118234509,0.005056801913665581
60,89052,13350454,149.91750887122132,0.003367003377193323
61,51278,7657631,149.33560201255898,0.0058246622077172605
62,62869,9429919,149.99314447501948,0.004771684942260593
63,13502,2019461,149.56754554880757,0.022156513672884615
64,53064,7925386,149.35523141866426,0.005629354971210232
65,12198,1825799,149.68019347434006,0.024543771988905477
66,79624,11864622,149.00811313171909,0.0037428409663468865
67,46813,7006874,149.67795270544508,0.0063948539992072576
68,33719,5031173,149.20884367863815,0.008850397038889504
69,14681,2185319,148.8535522103399,0.0202797755054959
70,73491,11000031,149.67861370780096,0.004073441657580649
71,78864,11765855,149.1917097788598,0.0037835666859962164
72,94599,14151206,149.59149673886617,0.0031626777889356256
73,82758,12373668,149.51627637207278,0.003613380774365257
74,97559,14584843,149.49766807777857,0.0030647956718624528
75,96709,14495647,149.88932777714587,0.0030998330598739684
76,78118,11708788,149.88591617808956,0.003837472411334013
77,11680,1766743,151.26224315068492,0.025903286779807334
78,34189,5116180,149.64403755593904,0.008754184951207385
79,63460,9492306,149.57935707532303,0.004714204669954554
80,15706,2326276,148.11384184388132,0.018861998324594884
81,32462,4836527,148.9904195674943,0.00917965679230426
82,59050,8807552,149.15414055884844,0.005051876934710103
83,53968,8066451,149.46729543433145,0.00553921083011216
84,82089,12290745,149.72462814749844,0.00364790537344066
85,92585,13877797,149.89249878490037,0.0032379784581547644
86,35388,5312779,150.12939414490788,0.008485002636273654
87,17374,2587176,148.91078623230115,0.017142783196028452
88,65780,9838243,149.56283064761325,0.0045474340031807494
89,61925,9248788,149.35467097295114,0.004823805664135106
90,29706,4462929,150.2366188648758,0.010115241128757838
91,67959,10182568,149.8339881399079,0.004409605584034489
92,64190,9598910,149.53902477021342,0.004659334925616957
93,27928,4171319,149.3597464909768,0.010696440469150055
94,79089,11863997,150.00818065723425,0.0037934498446599804
95,37974,5705611,150.2504608416285,0.007913541771344297
96,35191,5298965,150.57727828137877,0.008557958413263926
97,23402,3477981,148.6189641910948,0.012701932754249372
98,35459,5294588,149.31577314645082,0.008422120432424324
99,14042,2099605,149.52321606608746,0.021298086470491768
