db_index,count
0,5445773
1,5388671
2,5363692
3,5511291
4,5452589
5,5520102
6,5529219
7,5461521
8,5579077
9,5459704
10,5560852
11,5484004
12,5420868
13,5536852
14,5560334
15,5505622
16,5513968
17,5505283
18,5540226
19,5534483
20,5562680
21,5562211
22,5577085
23,5505198
24,5445634
25,5537578
26,5539451
27,5491513
28,5508862
29,5537023
30,5573788
31,5515104
32,5541877
33,5364837
34,5539825
35,5486351
36,5576444
37,5544117
38,5402222
39,5583370
40,5493299
41,5592671
42,5488609
43,5452633
44,5513418
45,5507706
46,5450161
47,5491343
48,5489688
49,5517197
50,5470049
51,5542643
52,5553579
53,5563809
54,5477629
55,5507088
56,5533983
57,5436439
58,5548820
59,5538108
60,5577449
61,5513416
62,5580734
63,5471021
64,5512146
65,5462584
66,5488456
67,5534666
68,5473869
69,5389330
70,5554689
71,5495268
72,5540336
73,5541726
74,5538351
75,5578542
76,5575203
77,5589681
78,5526628
79,5532877
80,5329513
81,5459619
82,5499635
83,5522696
84,5562440
85,5575383
86,5570622
87,5409383
88,5548282
89,5509976
90,5573864
91,5563760
92,5530793
93,5485372
94,5583497
95,5585315
96,5620148
97,5396001
98,5506299
99,5435333
